id;my_type
1000001;bc2001
1000002;bc2001
1000003;bc2001
1000004;bc2001
1000005;bc2001
1000006;bc2001
1000007;bc2001
1000008;bc2001
1000009;bc2001
1000010;bc2001
1000011;bc2001
1000012;bc2001
1000013;bc2001
1000014;bc2001
1000015;bc2001
1000016;bc2001
1000017;bc2001
1000018;bc2001
1000019;bc2001
1000020;bc2001
1000021;bc2001
1000022;bc2001
1000023;bc2001
1000024;bc2001
1000025;bc2001
1000026;bc2001
1000027;bc2001
1000028;bc2001
1000029;bc2001
1000030;bc2001
1000031;bc2001
1000032;bc2001
1000033;bc2001
1000034;bc2001
1000035;bc2001
1000036;bc2001
1000037;bc2001
1000038;bc2001
1000039;bc2001
1000040;bc2001
1000041;bc2001
1000042;bc2001
1000043;bc2001
1000044;bc2001
1000045;bc2001
1000046;bc2001
1000047;bc2001
1000048;bc2001
1000049;bc2001
1000050;bc2001
1000051;bc2001
1000052;bc2001
1000053;bc2001
1000054;bc2001
1000055;bc2001
1000056;bc2001
1000057;bc2001
1000058;bc2001
1000059;bc2001
1000060;bc2001
1000061;bc2001
1000062;bc2001
1000063;bc2001
1000064;bc2001
1000065;bc2001
1000066;bc2001
1000067;bc2001
1000068;bc2001
1000069;bc2001
1000070;bc2001
1000071;bc2001
1000072;bc2001
1000073;bc2001
1000074;bc2001
1000075;bc2001
1000076;bc2001
1000077;bc2001
1000078;bc2001
1000079;bc2001
1000080;bc2001
1000081;bc2001
1000082;bc2001
1000083;bc2001
1000084;bc2001
1000085;bc2001
1000086;bc2001
1000087;bc2001
1000088;bc2001
1000089;bc2001
1000090;bc2001
1000091;bc2001
1000092;bc2001
1000093;bc2001
1000094;bc2001
1000095;bc2001
1000096;bc2001
1000097;bc2001
1000098;bc2001
1000099;bc2001
1000100;bc2001
1000101;bc2001
1000102;bc2001
1000103;bc2001
1000104;bc2001
1000105;bc2001
1000106;bc2001
1000107;bc2001
1000108;bc2001
1000109;bc2001
1000110;bc2001
1000111;bc2001
1000112;bc2001
1000113;bc2001
1000114;bc2001
1000115;bc2001
1000116;bc2001
1000117;bc2001
1000118;bc2001
1000119;bc2001
1000120;bc2001
1000121;bc2001
1000122;bc2001
1000123;bc2001
1000124;bc2001
1000125;bc2001
1000126;bc2001
1000127;bc2001
1000128;bc2001
1000129;bc2001
1000130;bc2001
1000131;bc2001
1000132;bc2001
1000133;bc2001
1000134;bc2001
1000135;bc2001
1000136;bc2001
1000137;bc2001
1000138;bc2001
1000139;bc2001
1000140;bc2001
1000141;bc2001
1000142;bc2001
1000143;bc2001
1000144;bc2001
1000145;bc2001
1000146;bc2001
1000147;bc2001
1000148;bc2001
1000149;bc2001
1000150;bc2001
1000151;bc2001
1000152;bc2001
1000153;bc2001
1000154;bc2001
1000155;bc2001
1000156;bc2001
1000157;bc2001
1000158;bc2001
1000159;bc2001
1000160;bc2001
1000161;bc2001
1000162;bc2001
1000163;bc2001
1000164;bc2001
1000165;bc2001
1000166;bc2001
1000167;bc2001
1000168;bc2001
1000169;bc2001
1000170;bc2001
1000171;bc2001
1000172;bc2001
1000173;bc2001
1000174;bc2001
1000175;bc2001
1000176;bc2001
1000177;bc2001
1000178;bc2001
1000179;bc2001
1000180;bc2001
1000181;bc2001
1000182;bc2001
1000183;bc2001
1000184;bc2001
1000185;bc2001
1000186;bc2001
1000187;bc2001
1000188;bc2001
1000189;bc2001
1000190;bc2001
1000191;bc2001
1000192;bc2001
1000193;bc2001
1000194;bc2001
1000195;bc2001
1000196;bc2001
1000197;bc2001
1000198;bc2001
1000199;bc2001
1000200;bc2001
1000201;bc2001
1000202;bc2001
1000203;bc2001
1000204;bc2001
1000205;bc2001
1000206;bc2001
1000207;bc2001
1000208;bc2001
1000209;bc2001
1000210;bc2001
1000211;bc2001
1000212;bc2001
1000213;bc2001
1000214;bc2001
1000215;bc2001
1000216;bc2001
1000217;bc2001
1000218;bc2001
1000219;bc2001
1000220;bc2001
1000221;bc2001
1000222;bc2001
1000223;bc2001
1000224;bc2001
1000225;bc2001
1000226;bc2001
1000227;bc2001
1000228;bc2001
1000229;bc2001
1000230;bc2001
1000231;bc2001
1000232;bc2001
1000233;bc2001
1000234;bc2001
1000235;bc2001
1000236;bc2001
1000237;bc2001
1000238;bc2001
1000239;bc2001
1000240;bc2001
1000241;bc2001
1000242;bc2001
1000243;bc2001
1000244;bc2001
1000245;bc2001
1000246;bc2001
1000247;bc2001
1000248;bc2001
1000249;bc2001
1000250;bc2001
1000251;bc2001
1000252;bc2001
1000253;bc2001
1000254;bc2001
1000255;bc2001
1000256;bc2001
1000257;bc2001
1000258;bc2001
1000259;bc2001
1000260;bc2001
1000261;bc2001
1000262;bc2001
1000263;bc2001
1000264;bc2001
1000265;bc2001
1000266;bc2001
1000267;bc2001
1000268;bc2001
1000269;bc2001
1000270;bc2001
1000271;bc2001
1000272;bc2001
1000273;bc2001
1000274;bc2001
1000275;bc2001
1000276;bc2001
1000277;bc2001
1000278;bc2001
1000279;bc2001
1000280;bc2001
1000281;bc2001
1000282;bc2001
1000283;bc2001
1000284;bc2001
1000285;bc2001
1000286;bc2001
1000287;bc2001
1000288;bc2001
1000289;bc2001
1000290;bc2001
1000291;bc2001
1000292;bc2001
1000293;bc2001
1000294;bc2001
1000295;bc2001
1000296;bc2001
1000297;bc2001
1000298;bc2001
1000299;bc2001
1000300;bc2001
1000301;bc2001
1000302;bc2001
